source,target,source_type,target_type,chemical_weight,gap_weight,edge_type
ASIL,AWAR,S,S,2.0,0.0,chemical
ASIL,ASGL,S,S,3.0,0.0,chemical
ASIL,ASER,S,S,8.0,0.0,chemical
ASIL,ADFL,S,S,1.0,0.0,chemical
ASIL,AWCL,S,S,3.0,0.0,chemical
ASIL,AWCR,S,S,4.0,0.0,chemical
ASIL,ASKL,S,S,3.0,0.0,chemical
ASIL,CEPVR,S,S,1.0,0.0,chemical
ASIL,AIYL,S,I,3.0,0.0,chemical
ASIL,AIYR,S,I,2.0,0.0,chemical
ASIL,AIAL,S,I,2.0,1.0,both
ASIL,AIZL,S,I,1.0,0.0,chemical
ASIL,RIBL,S,I,1.0,0.0,chemical
ASIL,AIBL,S,I,3.0,0.0,chemical
ASIL,SAAVL,S,I,2.0,0.0,chemical
ASIL,RIAL,S,I,3.0,0.0,chemical
ASIL,RMFL,S,I,1.0,0.0,chemical
ASIL,ASIR,S,S,0.0,3.0,gap
ASIL,AINR,S,I,0.0,1.0,gap
ASIR,AWAR,S,S,1.0,0.0,chemical
ASIR,ASGR,S,S,3.0,4.0,both
ASIR,ASEL,S,S,2.0,0.0,chemical
ASIR,ASER,S,S,2.0,0.0,chemical
ASIR,AWCL,S,S,2.0,0.0,chemical
ASIR,AWCR,S,S,5.0,0.0,chemical
ASIR,ASHR,S,S,2.0,0.0,chemical
ASIR,ADLR,S,S,1.0,0.0,chemical
ASIR,CEPVR,S,S,1.0,0.0,chemical
ASIR,AIAL,S,I,1.0,2.0,both
ASIR,AIAR,S,I,4.0,3.0,both
ASIR,AIBR,S,I,3.0,0.0,chemical
ASIR,AIYR,S,I,0.0,1.0,gap
ASJL,ASKL,S,S,12.0,0.0,chemical
ASJL,ASKR,S,S,1.0,0.0,chemical
ASJL,CEPDL,S,S,1.0,0.0,chemical
ASJL,ALA,S,I,3.0,2.0,both
ASJL,PVQL,S,I,34.0,1.0,both
ASJL,ASJR,S,S,0.0,7.0,gap
ASJL,IL2L,S,S,0.0,1.0,gap
ASJL,AIAL,S,I,0.0,1.0,gap
ASJL,SMDDR,S,M,0.0,1.0,gap
ASJR,ASKR,S,S,12.0,0.0,chemical
ASJR,PVQR,S,I,19.0,5.0,both
ASJR,AIMR,S,I,0.0,1.0,gap
AWAL,ASGL,S,S,1.0,0.0,chemical
AWAL,AWBL,S,S,9.0,0.0,chemical
AWAL,ASEL,S,S,7.0,0.0,chemical
AWAL,AFDL,S,S,7.0,0.0,chemical
AWAL,ASHL,S,S,2.0,0.0,chemical
AWAL,AIYL,S,I,3.0,0.0,chemical
AWAL,AIZL,S,I,23.0,3.0,both
AWAL,ADAL,S,I,2.0,0.0,chemical
AWAL,AWAR,S,S,0.0,2.0,gap
AWAL,ADLL,S,S,0.0,1.0,gap
AWAL,AIAL,S,I,0.0,1.0,gap
AWAR,ASIL,S,S,2.0,0.0,chemical
AWAR,ASGR,S,S,1.0,0.0,chemical
AWAR,AWBR,S,S,3.0,0.0,chemical
AWAR,ASER,S,S,5.0,0.0,chemical
AWAR,ADFR,S,S,9.0,3.0,both
AWAR,AFDR,S,S,23.0,0.0,chemical
AWAR,RIR,S,I,2.0,0.0,chemical
AWAR,AIYR,S,I,8.0,0.0,chemical
AWAR,AIAR,S,I,3.0,3.0,both
AWAR,AUAR,S,I,1.0,0.0,chemical
AWAR,AIZR,S,I,25.0,3.0,both
AWAR,RIFR,S,I,5.0,0.0,chemical
AWAR,RIGR,S,I,6.0,0.0,chemical
ASGL,ASKL,S,S,2.0,0.0,chemical
ASGL,AINR,S,I,2.0,1.0,both
ASGL,AIAL,S,I,46.0,0.0,chemical
ASGL,AIBL,S,I,17.0,0.0,chemical
ASGL,AWBL,S,S,0.0,1.0,gap
ASGL,ASEL,S,S,0.0,3.0,gap
ASGL,AIML,S,I,0.0,1.0,gap
ASGL,AIZL,S,I,0.0,3.0,gap
ASGL,SMDDR,S,M,0.0,2.0,gap
ASGR,ASER,S,S,3.0,3.0,both
ASGR,AIYR,S,I,1.0,0.0,chemical
ASGR,AIAR,S,I,51.0,3.0,both
ASGR,AIBR,S,I,20.0,0.0,chemical
ASGR,ADFR,S,S,0.0,1.0,gap
ASGR,AWCR,S,S,0.0,2.0,gap
ASGR,ADLR,S,S,0.0,1.0,gap
ASGR,AINL,S,I,0.0,1.0,gap
ASGR,AIZR,S,I,0.0,1.0,gap
AWBL,AWAL,S,S,2.0,0.0,chemical
AWBL,ASEL,S,S,1.0,0.0,chemical
AWBL,ADFL,S,S,25.0,0.0,chemical
AWBL,AWCL,S,S,1.0,0.0,chemical
AWBL,ASHL,S,S,2.0,0.0,chemical
AWBL,AIYL,S,I,1.0,0.0,chemical
AWBL,AIAL,S,I,4.0,1.0,both
AWBL,AIZL,S,I,15.0,0.0,chemical
AWBL,AVHR,S,I,2.0,0.0,chemical
AWBL,RIGL,S,I,2.0,0.0,chemical
AWBL,AIBR,S,I,1.0,0.0,chemical
AWBL,RIAL,S,I,10.0,0.0,chemical
AWBL,AVBL,S,I,2.0,0.0,chemical
AWBL,SMBDL,S,M,2.0,0.0,chemical
AWBL,SMBVL,S,M,3.0,0.0,chemical
AWBL,AWBR,S,S,0.0,3.0,gap
AWBL,AUAL,S,I,0.0,4.0,gap
AWBL,RMGL,S,I,0.0,1.0,gap
AWBR,ASGR,S,S,1.0,0.0,chemical
AWBR,ASER,S,S,1.0,1.0,both
AWBR,ADFR,S,S,7.0,1.0,both
AWBR,ASHR,S,S,2.0,0.0,chemical
AWBR,URYVR,S,S,1.0,0.0,chemical
AWBR,OLQVR,S,S,1.0,0.0,chemical
AWBR,AIMR,S,I,1.0,0.0,chemical
AWBR,RIR,S,I,7.0,0.0,chemical
AWBR,AIYR,S,I,1.0,0.0,chemical
AWBR,AIZR,S,I,8.0,0.0,chemical
AWBR,RIFR,S,I,1.0,0.0,chemical
AWBR,RIAR,S,I,3.0,0.0,chemical
AWBR,AVBR,S,I,2.0,0.0,chemical
AWBR,AUAR,S,I,0.0,3.0,gap
AWBR,RMGR,S,I,0.0,1.0,gap
AWBR,RICL,S,I,0.0,4.0,gap
ASEL,ASJL,S,S,1.0,0.0,chemical
ASEL,AWBL,S,S,1.0,0.0,chemical
ASEL,ASER,S,S,2.0,0.0,chemical
ASEL,ADFR,S,S,1.0,0.0,chemical
ASEL,AFDR,S,S,3.0,2.0,both
ASEL,AWCL,S,S,16.0,1.0,both
ASEL,AWCR,S,S,11.0,2.0,both
ASEL,IL2R,S,S,1.0,0.0,chemical
ASEL,OLLR,S,S,1.0,0.0,chemical
ASEL,RIR,S,I,1.0,0.0,chemical
ASEL,AIYL,S,I,32.0,0.0,chemical
ASEL,AIYR,S,I,21.0,0.0,chemical
ASEL,AIAL,S,I,6.0,0.0,chemical
ASEL,AIZL,S,I,1.0,0.0,chemical
ASEL,AIBL,S,I,16.0,0.0,chemical
ASEL,AIBR,S,I,13.0,0.0,chemical
ASEL,RIAR,S,I,2.0,0.0,chemical
ASEL,AFDL,S,S,0.0,6.0,gap
ASER,AWAR,S,S,1.0,0.0,chemical
ASER,ASEL,S,S,3.0,0.0,chemical
ASER,AFDL,S,S,2.0,0.0,chemical
ASER,AFDR,S,S,3.0,1.0,both
ASER,AWCL,S,S,1.0,0.0,chemical
ASER,AWCR,S,S,1.0,0.0,chemical
ASER,ASKL,S,S,1.0,0.0,chemical
ASER,ASHR,S,S,2.0,0.0,chemical
ASER,ADLL,S,S,4.0,0.0,chemical
ASER,ADLR,S,S,1.0,0.0,chemical
ASER,AIYL,S,I,9.0,0.0,chemical
ASER,AIYR,S,I,38.0,0.0,chemical
ASER,AIAL,S,I,8.0,0.0,chemical
ASER,AIAR,S,I,4.0,0.0,chemical
ASER,AIZL,S,I,1.0,0.0,chemical
ASER,AIBL,S,I,4.0,0.0,chemical
ASER,AIBR,S,I,32.0,0.0,chemical
ASER,PVQR,S,I,0.0,1.0,gap
ADFL,AWBL,S,S,2.0,0.0,chemical
ADFL,AFDL,S,S,1.0,3.0,both
ADFL,AWCR,S,S,2.0,0.0,chemical
ADFL,ADLL,S,S,1.0,0.0,chemical
ADFL,URXL,S,S,1.0,0.0,chemical
ADFL,RIR,S,I,4.0,0.0,chemical
ADFL,AIAL,S,I,2.0,0.0,chemical
ADFL,AUAL,S,I,12.0,0.0,chemical
ADFL,AIZL,S,I,39.0,1.0,both
ADFL,ADAL,S,I,2.0,5.0,both
ADFL,RIBL,S,I,4.0,0.0,chemical
ADFL,RIGL,S,I,4.0,0.0,chemical
ADFL,RIGR,S,I,1.0,0.0,chemical
ADFL,AIBL,S,I,2.0,0.0,chemical
ADFL,AIBR,S,I,1.0,0.0,chemical
ADFL,RIAL,S,I,46.0,1.0,both
ADFL,RIVL,S,M,1.0,0.0,chemical
ADFL,SMDVL,S,M,1.0,0.0,chemical
ADFL,SMBDL,S,M,1.0,0.0,chemical
ADFL,SMBVL,S,M,9.0,0.0,chemical
ADFL,AWCL,S,S,0.0,1.0,gap
ADFL,ASHL,S,S,0.0,1.0,gap
ADFL,URBL,S,I,0.0,1.0,gap
ADFL,RIPL,S,I,0.0,2.0,gap
ADFR,AWAR,S,S,1.0,0.0,chemical
ADFR,AWBR,S,S,4.0,0.0,chemical
ADFR,ADFR,S,S,1.0,0.0,chemical
ADFR,AFDR,S,S,1.0,5.0,both
ADFR,AWCR,S,S,1.0,0.0,chemical
ADFR,ASHR,S,S,6.0,0.0,chemical
ADFR,BAGL,S,S,6.0,0.0,chemical
ADFR,URXR,S,S,10.0,0.0,chemical
ADFR,URYVR,S,S,2.0,0.0,chemical
ADFR,OLQVR,S,S,1.0,0.0,chemical
ADFR,RIH,S,I,2.0,1.0,both
ADFR,RIR,S,I,7.0,0.0,chemical
ADFR,AIYR,S,I,2.0,0.0,chemical
ADFR,AUAR,S,I,9.0,0.0,chemical
ADFR,AIZR,S,I,37.0,0.0,chemical
ADFR,ADAR,S,I,4.0,4.0,both
ADFR,AVHL,S,I,1.0,0.0,chemical
ADFR,PVPR,S,I,1.0,0.0,chemical
ADFR,RIGR,S,I,24.0,0.0,chemical
ADFR,RIAR,S,I,61.0,0.0,chemical
ADFR,SMBDR,S,M,2.0,0.0,chemical
ADFR,SMBVR,S,M,19.0,1.0,both
ADFR,AIAR,S,I,0.0,4.0,gap
ADFR,SMDVR,S,M,0.0,2.0,gap
AFDL,AWBL,S,S,4.0,0.0,chemical
AFDL,ASEL,S,S,1.0,0.0,chemical
AFDL,ASER,S,S,1.0,0.0,chemical
AFDL,AFDL,S,S,1.0,0.0,chemical
AFDL,AINR,S,I,3.0,0.0,chemical
AFDL,AIYL,S,I,25.0,2.0,both
AFDL,AIBL,S,I,1.0,2.0,both
AFDL,AFDR,S,S,0.0,1.0,gap
AFDL,URBL,S,I,0.0,9.0,gap
AFDL,AVEL,S,I,0.0,1.0,gap
AFDR,ASEL,S,S,1.0,0.0,chemical
AFDR,ASER,S,S,4.0,0.0,chemical
AFDR,AFDL,S,S,1.0,0.0,chemical
AFDR,AIYR,S,I,29.0,0.0,chemical
AFDR,AWCR,S,S,0.0,3.0,gap
AFDR,ASHR,S,S,0.0,4.0,gap
AFDR,URBR,S,I,0.0,2.0,gap
AFDR,AIBR,S,I,0.0,2.0,gap
AFDR,RMDVR,S,M,0.0,1.0,gap
AWCL,ASIL,S,S,1.0,0.0,chemical
AWCL,ASGR,S,S,1.0,0.0,chemical
AWCL,ASER,S,S,1.0,0.0,chemical
AWCL,AFDL,S,S,2.0,0.0,chemical
AWCL,AWCR,S,S,11.0,0.0,chemical
AWCL,AIYL,S,I,22.0,0.0,chemical
AWCL,AIAL,S,I,2.0,0.0,chemical
AWCL,AIAR,S,I,4.0,0.0,chemical
AWCL,AIZL,S,I,1.0,0.0,chemical
AWCL,AIBL,S,I,12.0,0.0,chemical
AWCL,AIBR,S,I,2.0,0.0,chemical
AWCL,RIAL,S,I,6.0,0.0,chemical
AWCL,AVAL,S,I,1.0,0.0,chemical
AWCL,SMDVL,S,M,1.0,0.0,chemical
AWCL,AUAL,S,I,0.0,1.0,gap
AWCR,ASIL,S,S,2.0,0.0,chemical
AWCR,ASIR,S,S,2.0,0.0,chemical
AWCR,ASGR,S,S,3.0,0.0,chemical
AWCR,ASEL,S,S,8.0,0.0,chemical
AWCR,ASER,S,S,5.0,0.0,chemical
AWCR,ADFR,S,S,1.0,0.0,chemical
AWCR,AWCL,S,S,17.0,0.0,chemical
AWCR,ASHR,S,S,1.0,0.0,chemical
AWCR,IL2L,S,S,2.0,0.0,chemical
AWCR,AIYL,S,I,12.0,0.0,chemical
AWCR,AIYR,S,I,22.0,0.0,chemical
AWCR,AIAL,S,I,1.0,1.0,both
AWCR,AIAR,S,I,8.0,1.0,both
AWCR,AIBL,S,I,3.0,0.0,chemical
AWCR,AIBR,S,I,18.0,0.0,chemical
AWCR,RIAL,S,I,3.0,0.0,chemical
AWCR,RIVL,S,M,3.0,0.0,chemical
ASKL,ASJL,S,S,1.0,0.0,chemical
ASKL,ASER,S,S,4.0,0.0,chemical
ASKL,AIML,S,I,5.0,0.0,chemical
ASKL,AIAL,S,I,29.0,2.0,both
ASKL,AIBL,S,I,9.0,1.0,both
ASKL,ASKR,S,S,0.0,9.0,gap
ASKL,ASHL,S,S,0.0,18.0,gap
ASKL,PVQL,S,I,0.0,8.0,gap
ASKL,AVHL,S,I,0.0,8.0,gap
ASKR,AWAR,S,S,2.0,0.0,chemical
ASKR,ASGR,S,S,1.0,0.0,chemical
ASKR,ASER,S,S,1.0,0.0,chemical
ASKR,ADLR,S,S,3.0,1.0,both
ASKR,CEPVR,S,S,2.0,0.0,chemical
ASKR,AIMR,S,I,5.0,0.0,chemical
ASKR,AIAL,S,I,1.0,0.0,chemical
ASKR,AIAR,S,I,35.0,1.0,both
ASKR,ALA,S,I,1.0,1.0,both
ASKR,RIFR,S,I,1.0,0.0,chemical
ASKR,AIBR,S,I,2.0,3.0,both
ASKR,ASKR,S,S,0.0,2.0,gap
ASKR,ASHR,S,S,0.0,2.0,gap
ASKR,PVQR,S,I,0.0,25.0,gap
ASKR,AVHR,S,I,0.0,10.0,gap
ASKR,RMGR,S,I,0.0,1.0,gap
ASHL,ADFL,S,S,6.0,0.0,chemical
ASHL,ASKL,S,S,1.0,0.0,chemical
ASHL,ADLL,S,S,6.0,0.0,chemical
ASHL,URXL,S,S,2.0,0.0,chemical
ASHL,RIR,S,I,4.0,0.0,chemical
ASHL,AIAL,S,I,24.0,0.0,chemical
ASHL,AIZL,S,I,3.0,2.0,both
ASHL,ADAL,S,I,2.0,2.0,both
ASHL,AVFL,S,I,2.0,0.0,chemical
ASHL,AVHR,S,I,2.0,0.0,chemical
ASHL,AIBL,S,I,13.0,0.0,chemical
ASHL,AVDL,S,I,7.0,0.0,chemical
ASHL,AVDR,S,I,20.0,0.0,chemical
ASHL,RIAL,S,I,9.0,0.0,chemical
ASHL,RIML,S,I,4.0,0.0,chemical
ASHL,AVBL,S,I,14.0,0.0,chemical
ASHL,AVAL,S,I,15.0,0.0,chemical
ASHL,AVAR,S,I,1.0,0.0,chemical
ASHL,RIPL,S,I,4.0,0.0,chemical
ASHL,ASHR,S,S,0.0,7.0,gap
ASHL,RMGL,S,I,0.0,3.0,gap
ASHL,RICL,S,I,0.0,5.0,gap
ASHR,AWAR,S,S,1.0,0.0,chemical
ASHR,AWBL,S,S,1.0,0.0,chemical
ASHR,ADFR,S,S,3.0,0.0,chemical
ASHR,ASHR,S,S,2.0,0.0,chemical
ASHR,ADLR,S,S,13.0,0.0,chemical
ASHR,AIAR,S,I,28.0,1.0,both
ASHR,ADAR,S,I,5.0,3.0,both
ASHR,AVHL,S,I,1.0,2.0,both
ASHR,PVPR,S,I,1.0,0.0,chemical
ASHR,RMGR,S,I,6.0,3.0,both
ASHR,AIBR,S,I,7.0,0.0,chemical
ASHR,AVDL,S,I,27.0,0.0,chemical
ASHR,AVDR,S,I,2.0,0.0,chemical
ASHR,RIAR,S,I,3.0,0.0,chemical
ASHR,AVER,S,I,7.0,1.0,both
ASHR,AVBR,S,I,6.0,0.0,chemical
ASHR,AVAR,S,I,10.0,2.0,both
ASHR,PVCL,S,I,3.0,0.0,chemical
ASHR,SMBVR,S,M,7.0,0.0,chemical
ASHR,AIZR,S,I,0.0,6.0,gap
ASHR,RICR,S,I,0.0,4.0,gap
ADLL,AWAL,S,S,1.0,0.0,chemical
ADLL,ASGL,S,S,2.0,0.0,chemical
ADLL,AWBL,S,S,3.0,0.0,chemical
ADLL,ASEL,S,S,1.0,0.0,chemical
ADLL,ASER,S,S,12.0,0.0,chemical
ADLL,AWCL,S,S,2.0,0.0,chemical
ADLL,ASHL,S,S,6.0,0.0,chemical
ADLL,OLQVL,S,S,2.0,0.0,chemical
ADLL,RIR,S,I,1.0,0.0,chemical
ADLL,AIAL,S,I,19.0,0.0,chemical
ADLL,ALA,S,I,5.0,0.0,chemical
ADLL,ADAL,S,I,1.0,0.0,chemical
ADLL,RIGL,S,I,1.0,0.0,chemical
ADLL,AIBL,S,I,26.0,0.0,chemical
ADLL,AVJL,S,I,3.0,0.0,chemical
