source,target,weight,type
1,10,4.0,chemical
1,2,1.0,chemical
1,3,2.0,chemical
1,4,1.0,chemical
1,5,2.0,chemical
1,6,1.0,chemical
1,7,6.0,chemical
1,8,6.0,chemical
1,9,1.0,chemical
10,104,1.0,chemical
10,109,2.0,chemical
10,214,4.0,chemical
10,219,1.0,chemical
10,237,1.0,chemical
10,25,4.0,chemical
10,5,2.0,chemical
10,6,1.0,chemical
10,8,1.0,chemical
100,108,1.0,chemical
100,3,1.0,chemical
100,5,3.0,chemical
100,53,1.0,chemical
100,7,10.0,chemical
100,8,12.0,chemical
101,102,1.0,chemical
101,103,11.0,chemical
101,104,2.0,chemical
101,105,2.0,chemical
101,12,3.0,chemical
101,14,12.0,chemical
101,20,1.0,chemical
102,115,2.0,chemical
102,133,3.0,chemical
102,2,1.0,chemical
102,225,1.0,chemical
102,23,2.0,chemical
102,3,1.0,chemical
102,4,1.0,chemical
102,78,2.0,chemical
102,85,4.0,chemical
102,87,5.0,chemical
102,99,4.0,chemical
103,101,2.0,chemical
103,105,7.0,chemical
103,114,2.0,chemical
103,115,7.0,chemical
103,133,3.0,chemical
103,136,1.0,chemical
103,137,1.0,chemical
103,138,1.0,chemical
103,14,7.0,chemical
103,2,4.0,chemical
103,5,4.0,chemical
103,60,1.0,chemical
103,90,4.0,chemical
104,103,6.0,chemical
104,109,5.0,chemical
104,12,1.0,chemical
104,138,3.0,chemical
104,14,6.0,chemical
104,192,1.0,chemical
104,202,1.0,chemical
104,53,2.0,chemical
104,6,1.0,chemical
104,66,5.0,chemical
104,7,1.0,chemical
105,132,3.0,chemical
105,223,1.0,chemical
105,45,4.0,chemical
105,65,5.0,chemical
106,10,2.0,chemical
106,100,3.0,chemical
106,104,3.0,chemical
106,107,1.0,chemical
106,108,1.0,chemical
106,109,8.0,chemical
106,110,1.0,chemical
106,111,2.0,chemical
106,112,1.0,chemical
106,113,2.0,chemical
106,53,1.0,chemical
106,7,12.0,chemical
106,90,1.0,chemical
107,120,3.0,chemical
107,131,4.0,chemical
107,210,1.0,chemical
107,34,1.0,chemical
107,4,1.0,chemical
107,76,2.0,chemical
107,85,3.0,chemical
107,87,4.0,chemical
108,106,1.0,chemical
108,109,6.0,chemical
108,140,1.0,chemical
108,192,1.0,chemical
108,7,4.0,chemical
108,8,4.0,chemical
109,113,3.0,chemical
109,115,1.0,chemical
109,123,1.0,chemical
109,131,4.0,chemical
109,138,2.0,chemical
109,2,9.0,chemical
109,4,4.0,chemical
109,5,1.0,chemical
109,7,7.0,chemical
109,86,5.0,chemical
11,103,13.0,chemical
11,125,1.0,chemical
11,139,1.0,chemical
11,14,5.0,chemical
11,143,1.0,chemical
11,15,5.0,chemical
11,209,3.0,chemical
110,106,2.0,chemical
110,107,1.0,chemical
110,112,1.0,chemical
110,115,3.0,chemical
110,118,5.0,chemical
110,119,1.0,chemical
110,123,9.0,chemical
110,143,1.0,chemical
110,3,5.0,chemical
110,5,2.0,chemical
110,7,2.0,chemical
110,87,3.0,chemical
110,88,2.0,chemical
111,104,2.0,chemical
111,106,4.0,chemical
111,109,4.0,chemical
111,113,1.0,chemical
111,29,1.0,chemical
111,7,1.0,chemical
111,87,2.0,chemical
112,10,1.0,chemical
112,106,1.0,chemical
112,126,5.0,chemical
112,13,1.0,chemical
112,131,1.0,chemical
112,146,1.0,chemical
112,173,7.0,chemical
112,188,4.0,chemical
112,191,3.0,chemical
112,194,2.0,chemical
112,199,3.0,chemical
112,202,1.0,chemical
112,234,1.0,chemical
