alpha,seed,target,cost
0.0,AVAL,SMDDR,0.36363636363636365
0.0,AVAL,AVFL,0.8809523809523809
0.0,AVAL,CEPDL,0.7833333333333332
0.0,AVAL,URADL,0.43333333333333335
0.0,AVAL,PVCR,0.0625
0.0,AVAL,ADEL,0.6079545454545454
0.0,AVAL,RIAR,0.37681159420289856
0.0,AVAL,AVDR,0.13852813852813853
0.0,AVAL,AVG,0.5476190476190477
0.0,AVAL,SMBDR,0.4642857142857143
0.0,AVAL,RMGL,0.6176948051948051
0.0,AVAL,AVAR,0.08333333333333333
0.0,AVAL,VC03,0.44345238095238093
0.0,AVAL,HSNL,0.7976190476190477
0.0,AVAL,HSNR,0.7476190476190476
0.0,AVAL,DVA,0.2976190476190476
0.0,AVAL,RIAL,0.3333333333333333
0.0,AVAL,SMDDL,0.3088235294117647
0.0,AVAL,SMDVR,0.3645833333333333
0.0,AVAL,AVAL,0.0
0.0,AVAL,PVCL,0.047619047619047616
0.0,AVAL,SMBVL,0.4976190476190476
0.0,AVAL,RMGR,0.7142857142857142
0.0,AVAL,PVNR,0.44345238095238093
0.0,AVAL,SMBVR,0.38095238095238093
0.0,AVAL,RMDL,0.3717948717948718
0.0,AVAL,RIH,0.6524170274170275
0.0,AVAL,PVNL,0.7886904761904762
0.0,AVAL,PVR,0.6458333333333333
0.0,AVAL,SMDVL,0.4000674081563869
0.0,hyp,SMDDR,inf
0.0,hyp,AVFL,inf
0.0,hyp,CEPDL,inf
0.0,hyp,URADL,inf
0.0,hyp,PVCR,inf
0.0,hyp,ADEL,inf
0.0,hyp,RIAR,inf
0.0,hyp,AVDR,inf
0.0,hyp,AVG,inf
0.0,hyp,SMBDR,inf
0.0,hyp,RMGL,inf
0.0,hyp,AVAR,inf
0.0,hyp,VC03,inf
0.0,hyp,HSNL,inf
0.0,hyp,HSNR,inf
0.0,hyp,DVA,inf
0.0,hyp,RIAL,inf
0.0,hyp,SMDDL,inf
0.0,hyp,SMDVR,inf
0.0,hyp,AVAL,inf
0.0,hyp,PVCL,inf
0.0,hyp,SMBVL,inf
0.0,hyp,RMGR,inf
0.0,hyp,PVNR,inf
0.0,hyp,SMBVR,inf
0.0,hyp,RMDL,inf
0.0,hyp,RIH,inf
0.0,hyp,PVNL,inf
0.0,hyp,PVR,inf
0.0,hyp,SMDVL,inf
0.0,AVAR,SMDDR,0.3214285714285714
