seed,target,success,path_len,sp_len,stretch,failure_reason
ASIL,URADL,False,10,3,inf,dead_end
ASIL,URADR,False,2,3,inf,dead_end
ASIL,URAVL,False,4,3,inf,dead_end
ASIL,URAVR,True,5,2,2.5,
ASIL,RMEL,False,2,3,inf,dead_end
ASIL,RMER,False,7,3,inf,dead_end
ASIL,RMED,True,6,2,3.0,
ASIL,RMEV,True,5,2,2.5,
ASIL,RMDDL,True,4,2,2.0,
ASIL,RMDDR,True,3,2,1.5,
ASIL,RMDL,True,4,2,2.0,
ASIL,RMDR,True,4,2,2.0,
ASIL,RMDVL,True,2,2,1.0,
ASIL,RMDVR,False,4,2,inf,dead_end
ASIL,RIVL,True,5,2,2.5,
ASIL,RIVR,False,4,2,inf,dead_end
ASIL,RMHL,True,5,2,2.5,
ASIL,RMHR,False,7,2,inf,dead_end
ASIL,SABD,True,2,2,1.0,
ASIL,SABVL,False,12,3,inf,dead_end
ASIL,SABVR,True,9,3,3.0,
ASIL,SMDDL,False,8,2,inf,dead_end
ASIL,SMDDR,True,2,2,1.0,
ASIL,SMDVL,True,2,2,1.0,
ASIL,SMDVR,True,6,2,3.0,
ASIL,SMBDL,True,3,2,1.5,
ASIL,SMBDR,True,2,2,1.0,
ASIL,SMBVL,True,4,2,2.0,
ASIL,SMBVR,True,2,2,1.0,
ASIL,SIBDL,True,8,2,4.0,
ASIL,SIBDR,True,3,3,1.0,
ASIL,SIBVL,True,5,3,1.6666666666666667,
ASIL,SIBVR,True,6,2,3.0,
ASIL,SIADL,True,9,2,4.5,
ASIL,SIADR,True,4,2,2.0,
ASIL,SIAVL,False,6,2,inf,dead_end
ASIL,SIAVR,True,6,2,3.0,
ASIL,DA01,False,8,3,inf,dead_end
ASIL,DA02,False,16,3,inf,dead_end
ASIL,DA03,False,16,3,inf,dead_end
ASIL,DA04,True,3,3,1.0,
ASIL,DA05,False,12,3,inf,dead_end
ASIL,DA06,False,12,3,inf,dead_end
ASIL,DA07,False,20,3,inf,dead_end
ASIL,DA08,True,3,3,1.0,
ASIL,DA09,True,4,3,1.3333333333333333,
ASIL,PDA,True,4,3,1.3333333333333333,
ASIL,DB01,False,16,3,inf,dead_end
ASIL,DB02,False,16,3,inf,dead_end
ASIL,DB03,False,12,3,inf,dead_end
ASIL,DB04,True,3,3,1.0,
ASIL,DB05,False,22,3,inf,dead_end
ASIL,DB06,False,18,3,inf,dead_end
ASIL,DB07,True,4,3,1.3333333333333333,
ASIL,AS01,False,16,3,inf,dead_end
ASIL,AS02,False,16,3,inf,dead_end
ASIL,AS03,False,16,3,inf,dead_end
ASIL,AS04,False,16,3,inf,dead_end
ASIL,AS05,False,16,3,inf,dead_end
ASIL,AS06,False,12,3,inf,dead_end
ASIL,AS07,False,19,3,inf,dead_end
ASIL,AS08,True,10,3,3.3333333333333335,
ASIL,AS09,False,7,4,inf,dead_end
ASIL,AS10,True,5,3,1.6666666666666667,
ASIL,AS11,True,5,3,1.6666666666666667,
ASIL,PDB,True,6,3,2.0,
ASIL,DD01,False,19,3,inf,dead_end
ASIL,DD02,False,16,3,inf,dead_end
ASIL,DD03,True,4,3,1.3333333333333333,
ASIL,DD04,False,13,4,inf,dead_end
ASIL,DD05,False,7,4,inf,dead_end
ASIL,DD06,True,3,3,1.0,
ASIL,VA01,False,19,3,inf,dead_end
ASIL,VA02,False,18,3,inf,dead_end
ASIL,VA03,False,16,3,inf,dead_end
ASIL,VA04,False,16,3,inf,dead_end
ASIL,VA05,False,16,3,inf,dead_end
ASIL,VA06,False,16,3,inf,dead_end
ASIL,VA07,False,16,3,inf,dead_end
ASIL,VA08,True,5,3,1.6666666666666667,
ASIL,VA09,False,9,3,inf,dead_end
ASIL,VA10,False,11,3,inf,dead_end
ASIL,VA11,True,5,3,1.6666666666666667,
ASIL,VA12,True,4,3,1.3333333333333333,
ASIL,VB01,True,14,3,4.666666666666667,
ASIL,VB02,False,16,2,inf,dead_end
ASIL,VB03,False,16,3,inf,dead_end
ASIL,VB04,False,16,3,inf,dead_end
